Gro_handelspreise_202401010000_202507110000_Monat
Datum von;Datum bis;Deutschland/Luxemburg [€/MWh] Berechnete Auflösungen
01.01.2024;01.02.2024;76,57
01.02.2024;01.03.2024;61,34
01.03.2024;01.04.2024;64,70
01.04.2024;01.05.2024;62,36
01.05.2024;01.06.2024;67,21
01.06.2024;01.07.2024;72,89
01.07.2024;01.08.2024;67,70
01.08.2024;01.09.2024;82,05
01.09.2024;01.10.2024;78,31
01.10.2024;01.11.2024;86,10
01.11.2024;01.12.2024;113,91
01.12.2024;01.01.2025;108,32
01.01.2025;01.02.2025;114,14
01.02.2025;01.03.2025;128,52
01.03.2025;01.04.2025;94,73
01.04.2025;01.05.2025;77,94
01.05.2025;01.06.2025;67,34
01.06.2025;01.07.2025;63,99
;AVERAGE OVER PERIOD;82,67
