Tabelle: 43531-0002
Electricity production, procurement of electricity, distribution of electricity, electricity consumption: Germany, years, economic activities;;;;;;;
Energy use by local units in manufacturing;;;;;;;;;;;
Germany;;;;;;;;;;;
;;;;Own electricity production (net);;Procurem. of elect. (incl. from foreign countries);;Distrib. of elect. (incl. to foreign countries);;Electricity consumption;
;;;;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh
2023;WZ08-B-C;Mining and quarrying, manufacturing;;45155385;e;171476852;e;21364292;e;195267945;e
;;WZ08-B;Mining and quarrying;1186467;e;6431147;e;2251102;e;5366512;e
;;WZ08-05;Mining of coal and lignite;870486;e;4577352;e;2071098;e;3376739;e
;;WZ08-06;Extraction of crude petroleum and natural gas;.;;377566;e;.;;425343;e
;;WZ08-07;Mining of metal ores;-;;.;;.;;.;
;;WZ08-08;Other mining and quarrying;.;;1468027;e;.;;1556273;e
;;WZ08-09;Mining support service activities;.;;.;;-;;.;
;;WZ08-C;Manufacturing;43968919;e;165045705;e;19113190;e;189901433;e
;;WZ08-10;Manufacture of food products;3825982;e;12817652;e;905674;e;15737960;e
;;WZ08-11;Manufacture of beverages;325800;e;1651224;e;70446;e;1906578;e
;;WZ08-12;Manufacture of tobacco products;.;;122915;e;.;;153004;e
;;WZ08-13;Manufacture of textiles;70925;e;1322892;e;37100;e;1356717;e
;;WZ08-14;Manufacture of wearing apparel;14707;e;92946;e;5405;e;102248;e
;;WZ08-15;Manufacture of leather and related products;.;;101080;e;.;;96853;e
;;WZ08-16;Manuf. of wood, products of wood and cork etc.;1853281;e;3901922;e;1348890;e;4406313;e
;;WZ08-17;Manufacture of paper and paper products;5171392;e;12378729;e;2264435;e;15285686;e
;;WZ08-18;Printing and reproduction of recorded media;167726;e;1244297;e;79443;e;1332580;e
;;WZ08-19;Manufacture of coke and refined petroleum products;4159605;e;2534693;e;989954;e;5704344;e
;;WZ08-20;Manufacture of chemicals and chemical products;12385910;e;34459247;e;5113558;e;41731599;e
;;WZ08-21;Manuf. of basic pharmaceutical products and prep.;357968;e;1793593;e;79520;e;2072041;e
;;WZ08-22;Manufacture of rubber and plastic products;719173;e;11562219;e;281322;e;12000070;e
;;WZ08-23;Manufacture of other non-metallic mineral products;386825;e;10756818;e;344633;e;10799010;e
;;WZ08-24;Manufacture of basic metals;8567739;e;27033952;e;4565562;e;31036129;e
;;WZ08-25;Manuf. of fabricated metal products, ex. machinery;593596;e;11148563;e;422899;e;11319260;e
;;WZ08-26;Manuf. of computer,electronic and optical products;201598;e;4229074;e;123059;e;4307614;e
;;WZ08-27;Manufacture of electrical equipment;274658;e;3943704;e;142329;e;4076033;e
;;WZ08-28;Manufacture of machinery and equipment n.e.c.;683015;e;8713358;e;379324;e;9017049;e
;;WZ08-29;Manuf. of motor vehicles, trailers, semi-trailers;3582653;e;11305802;e;1616850;e;13271605;e
;;WZ08-30;Manufacture of other transport equipment;159473;e;1222704;e;129613;e;1252564;e
;;WZ08-31;Manufacture of furniture;100131;e;859722;e;44612;e;915241;e
;;WZ08-32;Other manufacturing;222072;e;1215241;e;40798;e;1396515;e
;;WZ08-33;Repair and installation of machinery and equipment;95144;e;633359;e;104083;e;624419;e
__________
© Statistisches Bundesamt (Destatis), 2025
created: 2025-07-10 / 10:33:36
